reviews,extracted
"Had an excellent rehearsal dinner here recently. The lamb ribs appetizer was exceptional. Also enjoyed the shaved brussels sprouts salad, fried calamari, crispy pesto gnocchi, and a perfect salmon (w/ clams, broccoli rabe, gnocchi) entree. Great service, to boot.", Had an excellent rehearsal dinner here recently The lamb ribs appetizer was exceptional. enjoy
"Brunch here is on point! Absolutely loved the Zeppoles with Nutella syrup to start.  The Chef makes an amazing Italian Fried Chicken & Waffles with agro dolce + mascarpone butter.  The chicken is big in portion and perfectly crispy! The waffle tasted different from other places. Couldn't tell what was different but we liked it. They brought over this home made balsamic maple syrup to the table and it complements the chicken really well. Also ordered the Brunch Lasagna with bacon, sausage, bechamel, mozzarella, spinach with a fried egg on top!  What a nice way to make a classic dinner dish into breakfast. We enjoyed our food here. Will go back again to try other dishes.", Absolutely loved the Zeppoles with Nutella syrup to start The waffle tasted different from other places. They brought over this home made balsamic maple syrup to the table and it complements the chicken really well. What a nice way to make a classic dinner dish into breakfast Will go back again to try other dishes enjoy
"Came here on a Saturday @ 11:45 we were seated but told we had until 1 to eat. It is better if you make a reservation. It fills up quickly here.Good brunch menu, I wanted to try crostinos-they are only served during dinner but I was still happy with my dish. I got Scampi and grits - it was delicious with generous portions my bf had eggplant burrata sandwich plate with fries- sandwich wasn't filled at all 80% bread with 1 slice of eggplant. We also got eggs California  Benedict which was ridiculously tiny-literally 4 bites, the portions are definitely skewed depending on what you get so beware.Service was good no complaints there and the Place is spacious well lit. Might come back sometime."," It is better if you make a reservation It fills up quickly here.Good brunch menu, I wanted to try crostinos-they are only served during dinner but I was still happy with my dish. I got Scampi and grits - it was delicious with generous portions my bf had eggplant burrata sandwich plate with fries- sandwich wasn't filled at all 80% bread with 1 slice of eggplant. We also got eggs California  Benedict which was ridiculously tiny-literally 4 bites, the portions are definitely skewed depending on what you get so beware.Service was good no complaints there and the Place is spacious well lit. Might come back sometime"
"I came here yesterday with my gf for my birthday brunch and I was satisfy with my meal.  Food wise: I order The steak (medium well) and eggs (over easy) with a side order of smoked bacon and everything was cooked to perfection. The steak was juicy and tender just how I like it. Also the Belgium waffle my gf order was fluffy and tasty I can't go more into details because she didn't want to give me half hahaha, but from what I tasted it worth the purchase if you are into waffle. It is a decent size for the price. Resturant wise: Furthermore, the atmosphere of the place was welcoming; the staff was polite and very attentive. I been to other restaurants that they would just sit you take your order and that about it. However,  in this restaurants they care about the costumer and check up on you to see if everything is to your liking. If you are looking for a weekend brunch date I recommend this restaurant. P.S. If you are a foodie and love to take pics then this restaurant is also for you lol. Natural lighting all around so go nuts :)"," Also the Belgium waffle my gf order was fluffy and tasty I can't go more into details because she didn't want to give me half hahaha, but from what I tasted it worth the purchase if you are into waffle. Resturant wise: Furthermore, the atmosphere of the place was welcoming; the staff was polite and very attentive. I been to other restaurants that they would just sit you take your order and that about it. If you are looking for a weekend brunch date I recommend this restaurant If you are a foodie and love to take pics then this restaurant is also for you lol"
"We didn't have a reservation (It was a Saturday afternoon) but they were able to seat us at the bar. Bartender was there, but not very attentive. The food was good- I had the baked eggs and my friend had the benedict with the pesto hollandaise. We also shared the nutella french toast, which had to be taken to go since we definitely over ordered.The really disappointing part was how long it took for our food to come. Not just food, but cappuccinos!! It must have taken at least 30 minutes for two CAPPUCCINOS. (meaning it took almost an hour for food) We kindly told the bartender that we were still waiting and ...""I know. It's coming"". Ten minutes later they arrive. The restaurant was mildly busy, but coffee shouldn't take that long. And if it's that busy or you're short staffed, just check in with your customers! We can be understanding. And we were the only ones sitting at the bar at the time!Even though we enjoyed the food (though not sure if it was because we were starving when we got it), we were pretty annoyed that it took that long with no apologies or check ins. Probably will not be coming back."," The food was good- I had the baked eggs and my friend had the benedict with the pesto hollandaise. We also shared the nutella french toast, which had to be taken to go since we definitely over ordered.The really disappointing part was how long it took for our food to come. It must have taken at least 30 minutes for two CAPPUCCINOS. The restaurant was mildly busy, but coffee shouldn't take that long. We can be understanding. Probably will not be coming back enjoy"
"A very welcoming restaurant with beautiful outdoor seating. Have passed this literally every week when we go grocery shopping and when today the question of brunch came up, we decided to give this place a try. It has spacious seating both indoor and outdoor. The staff was excellent and catered to our requests quite gracefully. We ordered goat cheese omlette and chicken sandwich (our waiter was kind enough to accept my request to substitute grilled chicken for fried cutlet). We had to wait for over 30 minutes, which was okay because I really like to relax during brunch rather than shoving everything down quickly.The food arrived very cold, which kinda ruined every good things I just listed above. Also the pesto or the tomato in my sandwich was very rotten that I choked after eating that. Besides the rotten part, the cutlet was good (I feel weird saying this btw).Don't think I will be returning here."," A very welcoming restaurant with beautiful outdoor seating The staff was excellent and catered to our requests quite gracefully. We ordered goat cheese omlette and chicken sandwich (our waiter was kind enough to accept my request to substitute grilled chicken for fried cutlet). We had to wait for over 30 minutes, which was okay because I really like to relax during brunch rather than shoving everything down quickly.The food arrived very cold, which kinda ruined every good things I just listed above. Besides the rotten part, the cutlet was good (I feel weird saying this btw).Don't think I will be returning here."
"Very disappointing. **EVERYONE, MAKE SURE TO CHECK IF THE BILL MATCHES THE PRICES LISTED ON THE MENU** I've attached a picture of our bill and the menu because I did not believe this situation.When we got the bill, we realized that our server charged us 2 dollars extra on all 3 dishes that we ordered. We brought this up to the server and asked to see the menu again (this was when I took the picture below to show comparison for fellow yelpers). Our server then tells us that she heard that there were some price changes ""last week"" but was not sure and that she had to speak to someone regarding this. Then some guy comes out and talks to our server right behind us talking very loud and clear about this situation as if they wanted us to listen and says, ""Someone must have brought up our old menus from storage. But you can take out the 6 dollars from their bill.""Just out of curiosity, I just went on their website to check if there had been any price changes to the weekday brunch menu since the menus they gave us were ""old menus from storage"" but seems like they haven't updated their ""old menus"" online either. Just sounds like a bunch of bs to me. As for food, we ordered the CALIFORNIA BENEDICT, SCAMPI & GRITS and ITALIAN FRIED CHICKEN & BUTTERMILK WAFFLE with a side of HOME FRIES and APPLEWOOD SMOKED BACON. The food was decent, nothing spectacular. Portions were pretty big, we all had some leftovers. I liked the decor and ambience of this place, cute spot. I don't know if I'll ever go back but if I do, I'm definitely checking to see if there are any price changes."," Our server then tells us that she heard that there were some price changes ""last week"" but was not sure and that she had to speak to someone regarding this. Then some guy comes out and talks to our server right behind us talking very loud and clear about this situation as if they wanted us to listen and says, ""Someone must have brought up our old menus from storage. But you can take out the 6 dollars from their bill. Just sounds like a bunch of bs to me As for food, we ordered the CALIFORNIA BENEDICT, SCAMPI & GRITS and ITALIAN FRIED CHICKEN & BUTTERMILK WAFFLE with a side of HOME FRIES and APPLEWOOD SMOKED BACON. Portions were pretty big, we all had some leftovers. I don't know if I'll ever go back but if I do, I'm definitely checking to see if there are any price changes."
"Occasion: Sunday brunch with a friendFood:Italian Fried Chicken with Waffle ($18)CappuccinoThe fried chicken was cooked very well - retaining the right balance of moist and crunchiness. And it was huge! Together with the butter and syrup glazed waffle, it was a fulfilling and delicious combo! Also a honorary mention: the Cappuccino was surprisingly good - aromatic, strong, and smooth with the perfect amount of foam.I took one star off because the toilet was kinda a mess. It smelled so bad I almost thew up."," Occasion: Sunday brunch with a friendFood:Italian Fried Chicken with Waffle ($18)CappuccinoThe fried chicken was cooked very well - retaining the right balance of moist and crunchiness. Also a honorary mention: the Cappuccino was surprisingly good - aromatic, strong, and smooth with the perfect amount of foam.I took one star off because the toilet was kinda a mess. It smelled so bad I almost thew up. Sunday brunch"
"Good food at reasonable prices in a beautiful restaurant with friends ? What's not to like ? Came here on my short vacation for a little breakfast and I was not disappointed. The service was good and the food was also very good. It's a very relaxing place with these gorgeous windows that made me wish my husband would have been there with me. Anyone that knows me knows well that I love small local spots. They need a bigger menu but it was good food at a fair price. If I'm ever in that neighborhood again I'll go back and try something more adventurous. My only tip to the restaurant, use salt.", Good food at reasonable prices in a beautiful restaurant with friends  The service was good and the food was also very good. Anyone that knows me knows well that I love small local spots. If I'm ever in that neighborhood again I'll go back and try something more adventurous.
Monique was an exceptional waitress. She provided us about the best advice about entrees and dessert options. Our experience at Gatroteca was great and we will be back for brunch., Monique was an exceptional waitress. Our experience at Gatroteca was great and we will be back for brunch.
"Had a lovely brunch here with friends. Came on a Saturday around 11:30. We were seated immediately.  The service was very attentive, and the food was great. The menu has interesting and inventive brunch options. We were all satisfied with the taste and portion size of our dishes. I had the Nutella filled Texas toast. It was a delicious dish-- the toast was not too doughy, nor too sweet. Well balanced and tasty.The restaurant has a nice sunny outdoor seating. Definitely recommend for a casual brunch."," Had a lovely brunch here with friends We were seated immediately The service was very attentive, and the food was great. The menu has interesting and inventive brunch options. Well balanced and tasty.The restaurant has a nice sunny outdoor seating. Definitely recommend for a casual brunch"
"Amazing place, found while passing by 34th Avenue. From the outside the place looked amazing for my wife's anniversary celebration diner. When we finally went there, no regrets. Amazing food specially the Rizzoto matriciana. Good appetizers as well.", Amazing food specially the Rizzoto matriciana Good appetizers as well
great spot. new for me and little out of my way but will be back for sure for full diner ;) I'm glad my friend brought me here.,
"A very cute, hip and spacious location tucked away in a more quiet and peaceful part of Astoria. Locale is fun and a great date night spot! Love the huge glass exterior giving the place a very ""NYC"" type of vibe. The food here is absolutely delicious! Met up with a couple girls here and we tried various items from the menu. We started off with their cheese platter with came with various cheese and bread. If you love cheese then this is a great way to explore your cheese buds. We also had their crostini trio with hummus artichoke, Burrata bruschetta and olive mix. OMG! The Burrata here is to die for! And upon inquiring about it the waitress informed me that it's homemade, which made the experience even more heavenly. Soft, gooey, yummy cheese that you won't be able to get enough of! Then, we shared an entree of the Gnocchi with truffle! Unique and creamy flavor, yet not as heavy as it looked which was great (if you're not a fan of truffles then this is not for you). Our waitress was awesome and service was excellent! They also offer a great brunch menu here which I'm definitely coming back!"," The food here is absolutely delicious! If you love cheese then this is a great way to explore your cheese buds Soft, gooey, yummy cheese that you won't be able to get enough of! Our waitress was awesome and service was excellent!"
VERY good!!! One of the best restaurants in the Astoria/Long Island City/Sunnyside neighborhood!! Been twice for brunch and everything has been wonderful! Get the side of bacon!!, VERY good Been twice for brunch and everything has been wonderful! Get the side of bacon
Came here for a weekend brunch. Cute space with a small surprise birthday party going on in the back section. We sat at the bar because the tables are full. The bartender who served us was welcoming. We got the fried oyster sandwich and california egg benedict. Absolutely in love with the sandwich!! The portion was also so big that my boyfriend and I had to finished it together. The egg Benedict was so-so. Probably should have tried the french toast because it looked amazing from other tables ;)The 10% discount deal was a plus. Will come back!, Came here for a weekend brunch We sat at the bar because the tables are full. Absolutely in love with the sandwich The egg Benedict was so-so. Will come back
This is one of the best brunch places in Astoria. This corner spot has a very peaceful vibe with wide/tall windows. The staff is very kind. We sat at the bar for brunch and our sandwiches were great. Side dishes awesome as well. Our bartender was very attentive and friendly. Would certainly go back., This corner spot has a very peaceful vibe with wide/tall windows. The staff is very kind. We sat at the bar for brunch and our sandwiches were great. Side dishes awesome as well Our bartender was very attentive and friendly. Would certainly go back
"This place is 3 blocks from my house its amazing! Robert, Anna, and (I believe his name is) Igor are the best! I love the food, and probably eat here more than my apartment!! Just a great atmosphere, on a very nice quiet street! and the food is fresh and always taste great! There are some reviews about waiting long for food, well the food is fresh-- and fresh food can sometimes take a little longer to cook then frozen fries in a deep frier! McDonalds is around the corner if you want fast food! Gastroteca is on 33rd if you want great food!"," This place is 3 blocks from my house its amazing Robert, Anna, and (I believe his name is) Igor are the best! Just a great atmosphere, on a very nice quiet street! and the food is fresh and always taste great! There are some reviews about waiting long for food, well the food is fresh-- and fresh food can sometimes take a little longer to cook then frozen fries in a deep frier! McDonalds is around the corner if you want fast food Gastroteca is on 33rd if you want great food!"
"I think it's a good brunch spot here. I went here to try their oyster sandwich and smoke atlantic salmon crostino. I find it to be wonderful experience. I especially love the bread as it gave it a crunch texture from every bite you take. The poach eggs were pretty good and on spot. The place has a nice environment. It's good to take for the weekend brunch. I do have suggestions on improving the taste of the salad and roasted potatoes, which prevents me to give it a full five stars. The salad taste a bit bitter to me, but not sure if it's the salad dressing or not. Also, I feel that the potatoes should be moist yet crisp. It felt kind of dry, but everything else is great!", I especially love the bread as it gave it a crunch texture from every bite you take The poach eggs were pretty good and on spot. The place has a nice environment.
"There are so many amazing things about this restaurant that I can't name a bad trait yet! The incredible atmosphere, amazing service, delicious food and decent prices, you can't go wrong with this place! It's become our new go-to. Next, we need to try brunch!"," There are so many amazing things about this restaurant that I can't name a bad trait yet! The incredible atmosphere, amazing service, delicious food and decent prices, you can't go wrong with this place!"
"The ricotta donuts were hands down the best part. I could've eaten a whole brunch of JUST those. Everything else was good too -- we got the scampi polenta, and Californa benedict -- but really just raving about the donuts.", I could've eaten a whole brunch of JUST those.
"Came for brunch and was very excited to be coming back here because I remembered the dinners being pretty good. When I saw one of my favorite country staples on the menu, I was overjoyed. However, what I received was quite a sad excuse for biscuits and gravy. My first gripe was the gravy, it was watery and tasted like they simply took a bit of hollandaise sauce and put some pan drippings in it to darken the color. Country gravy is supposed to be thick and milk based, made with chunks of sausage and sausage grease, loaded with pepper and spice. My second issue with the extremely thin buttermilk biscuit it arrived on, i'm going to guess the kitchen forgot the leaving agent because this thing was more like a dense pancake.TLDR Summary; Stick with the italian food and avoid the biscuits and gravy."," Came for brunch and was very excited to be coming back here because I remembered the dinners being pretty good. My first gripe was the gravy, it was watery and tasted like they simply took a bit of hollandaise sauce and put some pan drippings in it to darken the color. My second issue with the extremely thin buttermilk biscuit it arrived on, i'm going to guess the kitchen forgot the leaving agent because this thing was more like a dense pancake.TLDR Summary; Stick with the italian food and avoid the biscuits and gravy. Came for brunch"
The water was great; it was all down here from there. Our waitress was sweet. But the food was not to be desired. We went to a different place for dessert. Just a cool place to get a drink, The water was great; it was all down here from there. Our waitress was sweet.
"I would have given your location 4 stars if the bartender would have not gotten upset over the fact that I pointed out my glass was dirty. I'm sorry but I refuse to drink from a dirty glass. As for the food the chef is a master indeed, the California egg benedict was made to perfection this includes the the home fries.  We also had the eggs benedict over a biscuit with gravy.....which was delicious.  As for the decor it's very hip and calls you in. The brunch is a little over priced, but the food is worth the price. Thanks again chef! On a positive note the bartender did change her attitude at the end, but the 1st impression is the last impression."," As for the decor it's very hip and calls you in. The brunch is a little over priced, but the food is worth the price. Thanks again chef On a positive note the bartender did change her attitude at the end, but the 1st impression is the last impression."
"Ate here recently. The food was good, but the portions were small, and the pasta dishes were not served with any bread. The waiter was not particularly friendly. Will not eat here again."," Ate here recently The food was good, but the portions were small, and the pasta dishes were not served with any bread. Will not eat here again"
"Gastroteca is a great, inexpensive brunch spot in Astoria. I got the fried eggplant and burrata sandwich which was incredible, and a glass of mango juice. This place is extremely affordable- my sandwich was only about $12 and came with a salad or fries. I would recommend this place if you're in Astoria."," Gastroteca is a great, inexpensive brunch spot in Astoria. This place is extremely affordable- my sandwich was only about $12 and came with a salad or fries. I would recommend this place if you're in Astoria."
I loved it! Perfectly romatic place to finish off our movie night. :), Perfectly romatic place to finish off our movie night.
"Where do I start? We dropped by Gastroteca on a Sunday for brunch. It was our first time there and the decor from the outside drew is in although the ratings were not very high.I ordered the Bloody Mary to start and I must say, it had all the works but the taste was uninspiring. In it was cauliflower, celery, pickle and an olive amongst other fashionable ingredients but the flavor of the drink tasted watered down with only a bit of spice to show for it.For food, my girl got the California Benedict. She didn't seem to mind it much but she would later say it was just ok.I ordered the smoked salmon crostino with greens (trying to be healthy). The salmon was fishy and when I took a bite of the salad and I felt some sand but I hoped it was my imagination and finished the first bite. But my second bite made me have to spit the food out. I had to hunt down a server to complain and ask for home fries.Not being satisfied, we got the check only to find out they had charged us for coffee which we did not order. When I pointed this out to a server, he told me he'd get our server to fix it but the check came back with no revisions, forcing me to get up, go to the bar and make it more obvious.My final (and additional) thoughts on this place is that the employees are there more to socialize than to actually work a living. They were all just standing around or running around and not paying much attention. This place is not even worth the Yelp check-in and 10% discount!""Worst experience ever."" - my fiancé when I told her just now that I'm writing this review"," It was our first time there and the decor from the outside drew is in although the ratings were not very high.I ordered the Bloody Mary to start and I must say, it had all the works but the taste was uninspiring. In it was cauliflower, celery, pickle and an olive amongst other fashionable ingredients but the flavor of the drink tasted watered down with only a bit of spice to show for it.For food, my girl got the California Benedict. She didn't seem to mind it much but she would later say it was just ok.I ordered the smoked salmon crostino with greens (trying to be healthy). The salmon was fishy and when I took a bite of the salad and I felt some sand but I hoped it was my imagination and finished the first bite. When I pointed this out to a server, he told me he'd get our server to fix it but the check came back with no revisions, forcing me to get up, go to the bar and make it more obvious.My final (and additional) thoughts on this place is that the employees are there more to socialize than to actually work a living. Worst experience ever"
"Used to be called Locale before a new owner bought the joint. nice scene for a brunch spot. tables are small, venue is a bit cramped, with high ceilings and lots of sunlight. Had the smoked salmon, didn't like it. the eggs benedict was alright. Unfortunate i had hair on my food even though they took it off the bill. Only reason id recommend this place is to have their sugar dusted texas french toast - its a must try!"," nice scene for a brunch spot tables are small, venue is a bit cramped, with high ceilings and lots of sunlight."
Really nice brunch spot. We came here before going to the museum of the moving image. The eggs Benny was really good. My dad ordered the waffle but apparently the waffle machine was broken? So he got the Texas toast instead which was divine., Really nice brunch spot. The eggs Benny was really good.
****check the restaurants website for current menu...menu posted on this page is not current and slightly different Really good Italian food! Had some crostinis to start all were delicious! I think the deal was get 3 for $10 and they cut them in half which was perfect for my boyfriend and i to share. I had the spaghetti in a tomato Sauce with burrata cheese melted on top. SOOO amazing! My boyfriend had the veal which melted in your mouth. He only wished it came with a sauce but he used my extra sauce to dip. Tiramisu was light and fluffy...I usually like more espresso flavor but it was still good. Service was very good. It is on the pricey side but if you want to treat yourself to some nice Italian this would be the place to do it!, ****check the restaurants website for current menu...menu posted on this page is not current and slightly different Really good Italian food! Had some crostinis to start all were delicious I had the spaghetti in a tomato Sauce with burrata cheese melted on top. Tiramisu was light and fluffy...I usually like more espresso flavor but it was still good. Service was very good. It is on the pricey side but if you want to treat yourself to some nice Italian this would be the place to do it
"At first I was thinking a bit pricey but the quality was outstanding. I had the kale, tomato, mozzarella, egg bake dish. It was so good it released serotonin in my brain. They had zoo lander on the projector and I cried at the end. That's how good this meal was", At first I was thinking a bit pricey but the quality was outstanding. It was so good it released serotonin in my brain. They had zoo lander on the projector and I cried at the end.
