no.ofsimilartips,tip
1,Outside seating with huge spacious tables and couches inside.
1,We called to make sure they were good to go and let them know we would be on our way.
1,The crostini was delicious but maybe we were just ravenous.
1,For dinner we split the appetizer trio of bruschetta 10 Fig Jam Ricotta and Prosciutto  Kind of a standard toast spread it was tasty but not the best of the bunch
1,I highly recommend the Freddy Kruger bloody Mary it is a blood Mary with the addition of jalapeno infused vodka which gives it an extra kick and will wake you up right away
1,Great servers terrible manager 
1,Gotta go if youre in the area and worth the trip if not
1,Again small portions  heavy dish
1,The Locale Faggotini Beggers purse shaped pasta stuffed with gorganzola topped with walnuts in a red beet sauce
1,"I have now been here several times,  to include ringing in the New Year,  and it is hand's down,  my favorite spot in Astoria."
1,The toast it came with did taste good and the extra order of the side of American bacon I ordered tasted amazing
1,"It would be a good place to meet a friend for drinks The Nutella French Toast Bread Pudding was too good, and so was the sea bass and rosemary chicken."
1,What a surprise
1,It's a little off from central Astoria so it's not usually overcrowded...particularly when the weather is nice since you can sit outside.
1,They had quite a few pasta dishes on the menu that looked amazing but then there was a polenta dish that also looked great
1,My girlfriend ordered the California Benedict (which comes with avocado and roasted tomato) and that was pretty good.
1,I ALWAYS have a fantastic time at Local
1,One of the brightest prettiest and reasonably priced places for brunch
1,"Though, the restaurant was pretty empty when I attended."
1,"After Saturday night, this is definitely near the top of my list of more upscale places to go for dinner in Astoria."
1,The brunch menu was priced moderately
1,?Appetizers: Cheese platter- was nothing specialCalamari - was ok but nothing spectacular very small portionMain Course:Branzino - who serves this by the Filet??
1,How do you know what you are getting
1,Complimentary bread basket and olive oil was really good!
1,"Our server was great, the restaurant is very cute with a solid amount of outdoor seating."
1,He argued that we should have read that it was fried on the menu.
1,Thank you lazy people  We got seated right away and they seated us in a nice and loungy area of the restaurant so that was a plus
1,the sandwich tastes really good too.
1,"The ambiance was also nice, making it a perfect place to bring a date."
1,I have walked by this place many times always wanting to go try it so one day I ended up having Sunday brunch here with my boyfriendThis restaurant had a delicious Sunday brunch
1,Our waters were never refilled we were never checked up on etc
1,"We asked for real syrup but were told ""I'm not sure, sometimes we have it but sometimes we don't."""
1,Ambience intimate warm
1,Not baked at all
1,Has seating inside and out
1,This is my go-to place since I live quite close.
1,This is probably among my top 5 brunch spots in astoria  and if youre from astoria you know there are several brunch spots on every corner
1,The fries were a small portion but just right not to feel super stuffed.
1,Place was packed for brunch.STEAK AND EGGS WERE THE BEST I'VE TASTED IN QUEENS.!!
1,"The waffle was fluffy, their maple syrup and butter was addictive, and the chicken was perfectly crispy."
1,Bechamel sauce bacon sausage spinach and mozzarella all baked together in breakfast matrimony and topped with a fried egg
1,Full price on everything
1,The eggs and portbello just melted in your mouth as you eat it
1,the bf's chicken club has cheese-covered bread and sliced chicken breast (instead of whole chicken breast) and it's much more manageable to go with all the other ingredients.
1,If you want to eat something delicious do not come here
1,they looked and smelled amazing
1,The chicken was crispy yet tender and the maple butter was an especially nice touch.
1,"I have always done brunch here with the outdoor sitting its really nice.The service is good, all the waiters are very nice, they always bring water to my dog!"
1,It was like a warm blanket and I ordered their Blue cheese burger that were accompanied by the most delicious hand cut fries that were completely addicting.
1,Everything Ive tried here so far has been amazing
1,Definitely recommend getting the home fries on the side the portions are a little on the small side in comparison to brunch places nearby
1,I have been here with large groups and just for date night and their service and food is consistent.
1,"Located on a pretty, tree-lined street in Astoria, the cuisine is northern Italian; the ambiance is rustic hip; the service is impeccable, and the food is delectable and creative."
1,We ordered the California Benedict which was perfectly cooked and the French toast was sinfully sweet in the best way.
1,All were delicious but the zeppoli were off the charts phenomenal
1,For appetizers try the crostini with a selection of exotic toppings like ricotta hazelnut truffle honey or fig jam ricotta prosciutto
1,"You know how you might have a restaurant, cafe, etc."
1,The Belgian waffles 12 are amazing and the Lamb  Spinach Hash 14 are good too
1,Dont get me wrong  its good
1,Potatoes were also good.
1,Overall a decent experience here
1,Pretenious and overrated
1,God job guys
1,This place is so adorable and obviously has potential.
1,The waffle tasted different from other places.
1,Its definitely for the hearty eaterIf visiting the area for brunch put this on your list
1,So I'll give a star!
1,"While my lasagna bolognese was tasty, service was very slow and I thought my waiter had forgotten me."
1,Its called a Freddy Krueger
1,Loved having brunch here
1,What restaurant closes this early in Astoria on a weekend?
1,The flavors were amazing
1,If you are looking for a weekend brunch date I recommend this restaurant
1,Would likely do it again myself in the future
1,Quite area nice location
1,"I'd still give it another chance for dinner, options sound great."
1,The lasagna bolognese was also delicious.
1,"We met the owner, who was very kind and took good care of us."
1,Good to have lunch brunch or dinner or to come for just a cheese plate and wine or coffee and desert
1,"Great to sit outside, the street isn't too busy and the inside is also nice."
1,I had the pesto cavatelli and my friend had the blue crab spaghettini.
1,I believe it was slightly over priced.
1,My friend had a seafood dish that I can't remember the name of but I can remember the taste!
1,I thought the mimosa was very bland which was disappointing
1,Such a cool atmosphere too
1,The waffle itself was chewy and soft and the fried chicken was flavorful.
1,Definitely pair this with their home fries
1,As long as the mimosas keep coming you stop paying attention to something as pesky as time right
1,Wooooo hoooo win win she found a parking spot right out front and we sat at a cute table because we didnt have a reservation
1,For our entrees we had the truffle gnocchi which was delicious and creamy
1,We went for dinner at Locale tonight and we will never go back ever again.
1,The brunch is good (eggs benedict is superb) and the waffles too.
1,"There pasta game is great and the brunch here is A1, but then again everything on their menu is good.I love the ambience in this place."
1,Such a nice surprise in Astoria
1,"It's so good, I think about it for days after."
1,Food is really bland
1,My other friend ordered smoked atlantic salmon crostino for $14.50.
1,The burger was nice and juicy and perfectly cooked.
1,Definitely have to come back and get that next time.Service was also wonderful and attentive.
1,Topped with fresh berries and powdered sugar
1,Delicious and light yet filling
1,Its my goto neighborhood restaurant for that special occasion girls night out or morning after brunch
1,Our waitress did a great job with recommendations.
1,"The fried eggplants had a thin crust, a bit dry, but the eggplants were very moist and watery, and the burrata was simply tasty and refreshing, which added moisture to the bread."
1,"With the moisture given from the eggplants and burrata cheese, you wouldn't feel very dry or hard to swallow."
1,And it was served with hand cut fries that were not done
1,"The waitress was super accommodating and the restaurant was beautiful... Had outdoor seating, nice vibes... Definitely somewhere I would visit again for a few drinks."
1, slices of smoked Atlantic salmon and 2 sunny side eggs
1,"I had the pleasure of dining at Locale with a group of 11 on a Saturday afternoon and the food, drinks, service and decor were all top-notch."
1,My entire plate was FANTASTIC.
1,I would go back in a heartbeat and try other things and take a few friends when they visit.
1,My other friends ordered the regular omelette and loved that as well.
1,We ordered shaved Brussels sprouts to start  delicious
1,"But nonetheless, I can appreciate generous quantities of food."
1,"The sauce was perfectly seasoned and the texture of the fresh made pasta was so great, perfectly al dente."
1,Their servings are quite small for the price and ours tasted watered down.
1,"We ordered the following:Smoked Atlantic Salmon Crostino ($13.50): the salmon came on a huge toast but I thought the toast was a bit too hard to chew.Belgian Waffles ($12.00): banana caramel sauce, walnut, and whipped cream on top of a huge waffle!"
1,Perfect brunch spot for delicious cocktails and somewhat new take on brunch inspired dishes.
1,Love the shaved truffle
1,"Besides this faux pas incident, the food was beautifully presented but needed more flavour."
1,They gave us a comfy table for two in the back elevated area that was very cozy.
1,Portions I will say for $15-20 dishes are pretty small as hell.
1,Been here for brunch on more than one occasion and was never disappointed
1,All of them were freshly made according to the menu
1,Good menu with a variety of choices
1,Where to start
1,We sat at the bar because the tables are full.
1,"The portions are large and the menu is always changing, so make sure you ask about the specials."
1,Monique was an exceptional waitress.
1,The staff were all very nice and our waiter was very helpful offering opinions on dishes when we asked so it was a very enjoyable evening!
1,Get the side of bacon
1,"No, it's not grimy and no, it's not that cheap."
1,Go to heaven immediately
1,"Both dishes were good, but there wasn't anything special about it."
1,The taste was very good and you can tell that the calamari was fresh.
1,One of the best restaurants in the AstoriaLong Island CitySunnyside neighborhood
1,My meal was very good with a good mixture of seafood and sauces.
1,We arrive and there were several open tables and literally no one waiting.
1,They also offer a great brunch menu here which Im definitely coming back
1,"Came here for brunch while trying to put off the Sunday Scaries and this place was so excellent it had me thinking it was Saturday.Bloody Mary aficionados will love the Freddy Kreuger, Gastroteca's spicier take on the drink, made with jalapeno infused vodka."
1,Nice big windows and opportunities to sit outside in the good weather
1,Love the huge glass exterior giving the place a very NYC type of vibe
1,"Overall, I thought the service and ambiance were nice."
1,Got a seat right away which was really nice.
1,Only stopped by for a small bite and happy hour
1,"If i lived here, I'd be here all the time."
1,We got caught in some traffic and called to let them know we were en route however would be a little late to our reservation
1,"I don't know if I'll ever go back but if I do, I'm definitely checking to see if there are any price changes."
1,"My friends and I had nothing but good things to say about this place, their very friendly staff, and the beautiful layout."
1,Ordered eggs well done came back soft.
1,Would give five stars but the food wasn't hot.
1,)The restaurant decor was FANtastic and had an eerie comfort to it.
0,"Too much sweetness in the morning makes me feel sick, but the toast was fantastic."
0,"I understand that getting a benedict is not a big dish, but at least give me some more home fries."
0,"Family visit after Moving images museum.My old kid tried Ragu and liked it.My wife ordered crispy gnocchi and loved it.I ordered carbonara and it was not so good (that's why 3 stars only), I gave my wife to try and she did not like it as well.The service was good,The atmosphere is very nice.We are probably spoiled in ny... so I would recommend this place but may be ask fir recommendations from the staff."
0,I came here last night with a friend after we realized we were both starving to death.
0,"(Based on the Yelp reviews and our experience here, Gastroteca is a popular spot for events with large groups."
0,"For my entrée I ended up going with the Crispy Gnocchi ($16): Pistachio pesto, spinach, and a liberal amount of shredded ricotta salata adorned on top."
0,"By the way I thought the home fries had more flavor than the California benedict.The only thing I would say that is good about this place is the decor, and their toast with nutella which was delicious."
0,Nice little spot near Kaufman theater
0,My mushroom omelet was a fine omelet but the fries on the side were greasy and limp.
0,Its a great place to spend a Sunday morning
0,"We had to wait over 20 minutes to have it changed, and the cocktail fell very short of its description."
0,Plenty of people chatting and on top of that loud music
0,Service is good albeit I went at a very not busy time.
0,The dish was flavorful and I enjoyed the crispy exterior of the gnocchi which you dont typically find
0,The place looks like it was just renovated or they do a really good job at maintaining it.
0,Their fries are just alright.
0,All my life eating Italian food!
0,Not going back will speak to the owner
0,The pastas definitely tasted hand made
0,"Meanwhile, we had brunch at a nearby French place on 36th Ave earlier in the day and even in tightly packed quarters with rapidly demanded orders and a BARELY there mess up with a menu item mixed up that took about 20 seconds to correct, and one chef making allll of the orders, the hostess and server were highly attentive, greeted us with friendly attitudes, let us WAIT for a table to open up, and comped some brunch drinks to make up for the slight wait on the item mix up."
0,Sadly there were a lot of low points during our mealFirst impression its loud
0,"At the end, the waitress was kind and patient enough split the bill on three cards for us."
0,Each bite was very flavorful and tasty.
0,I would have to go try some of the other stuff another time =)As always check some of the photos that I always post =) I really wanted to love Gastroteca.
0,Then he basically says something along the lines of reservation right
0,"Their Mmm mmm mimosa was perfect, their homemade Bloody Mary even passed my boyfriend's standards, and the food was incredible."
0,No flavor whatsoever
0,How do you now know what drink you brought usWe never saw a waiter other than to deliver food or to pick up empty glasses
0,"Sicilian Pineapple, mascarpone, chili flakes - Absolutely nothing was wrong with this."
0,Second time there was a nude woman not sure I wanted to share this experience with my kid at the tableWill definitely come back for dinner after our next movie trip
0,So so plain and bland and dont even get me started on the hollandaise
0,What I love about this place:crispy gnocchiroasted pear crostinobread and olive oildecorlocation - close to my theater10% Yelp cash backAA miles with Advantage DiningOpentable reservationNotes:Desserts are not the best hereHard to find a parking spot.
0,Stracchino garlic mushrooms  My personal favorite and definitely the most flavored with a rich thick soft cows cheese
0,(when more than half of the tables appear open) and if we say no he just tosses the menus away and shoots a glare as if we are peons that he can't help.
0,It's not the boozey I'm going to get you crunked under the table style brunch but they have delicious rustic Italian foods with a modern twist that they claim all endorse fresh ingredients found locally in Astoria.
0,"The powder sugar was just sweet enough, then to dip just a bit of the toast in the syrup to really change it."
0,Under seasoned etc
0,Then turns on his heel and dismisses us
0,If we ask how long it might be to wait otherwise he rolls his eyes and points at the bar as if it is a dentention center and tells us it's an option.
0,Lately this place is just ridiculous.
0,"When we got our food, it wasn't cold, but cold enough to tell that it has been sitting on the counter for sometime.Service-Super nice!"
0,Bravo to the chef
0,"From the street, I think I walked past this place like 4x before I realized the restaurant on the corner with the red awning was Gastroteca..LOL I didn't see a sign or anything that said Gastroteca on it..OR perhaps I need to open my eyes more.. O_O Interior decor was simple and clean."
0,Excellent atmosphere!Astoria is a new neighborhood for me and I had a chance to come here for Saturday brunch.Food-very good!
0,And there weren't odd rules about reservations or waiting for a table.
0,Ever meet someone who you knew was just looking for a fight
0,I dont think Ive ever had it that good
0,My fiance's brunch lasagna had underdone pasta and was rather dry (not surprising as there's no real sauce to speak of) and small.
0,Came with a party of five for lunch during the week
0,Eggs Benedict is a brunch staple and if you can't execute that right maybe you shouldn't have it on your menu.
0,I would try a different drink.
0,This is a neighborhood restaurantAnyways still lovers of the food and service otherwise we went ahead and made a reservation this week
0,We also had delicious mimosas and a friendly bar tender
0,But meanwhile several items (including menu items that were in our order) are promptly delivered to the table seated after us.
0,So we settle otherwise for the high top bar tables (aka- see above: detention center for folks made to feel dumb for not making a reservation).Fine.
0,"But the brunch lasagna was so so, the lasagna layer had more to do with toughness and it served with warm temperature only, I believe it will taste much better if they serve it hot."
0,Service was quick up until we ordered dessert.
0,He shows us the worst table (so much for the privilege of making a reservation) and when we ask if we can sit up in the other section he says it's for larger parties.
0,The side salad was just lettuce and vinaigrette dressing; refreshing but not satisfying or very tasty (next time I'll try the hash browns since they seemed to be the popular side that day).
0,"I can make myself an omelet (and frankly, a better french fry) and my home has a calmer atmosphere."
0,Two of us loved our entree and the others were not crazy about it.
0,"Scampi was really good to mix with the creamy cheese, the shrimp wasn't over cook, !!"
0,My husband ordered the gnocchi and I must admit that's probably the best gnocchi I've tasted!
0,Ours came out al dente and amazing but for the folks who ordered the linguine with clams the consensus was it was super salty.
0,Customer service goes a long way people!!!
0,Honestly this place was beyond mediocre.
0,We had a reservation for 100pm on Memorial Day
0,Greeted by the same rude as ever staffer maybe manager
0,hard to tell again we say yup reservation this time the place was packed as it was Saturday night so made sense this time and the only tables open are one right by the door in the middle of the room and two others up in the elevated section
0,So lets start from the beginning
0,Lots of spice but not enough flavor  sort of watery
0,Which was especially disappointing because of its 4 star status and fairly good reviews.
0,One downside is that the portion size is very small and I would recommend ordering one or two sides because the gnocchi by itself was not filling for my husband.
0,I think next time I'll ask for a little extra sauce.
0,But try not to make it so obvious that service at other tables suffer as a result
0,Everyone's food was unmemorable and unexciting.
0,Be gracious and sympathetic about it at least if you seriously are so piled up with reservations that theres no way in for a decade
0,This table nazi stuff is such a turn off.
0,"It cute cause they even put that sparkler thingy on it.This place is great, highly recommended."
0,But seems like a tone is being set- mainly by door guy host manager fella that is just setting up each experience for failure.
0,:D Very nice place near Kaufman studios and The Museum of the Moving Image.
0,98 juice
0,Definitely unworthy of four stars regarding their brunch
0,Were loyal friendly easy to please well tipping customers
0,Legit annoyed at the recent changes here
0,Inside was airy and very bright.
0,I go there so much it's almost embarrassing.
0,A rustic decor with large windows to let in natural light and 80s rock playing in the background
0,"The zeppoles were very tasty and quite dense/rich, probably the best part of our meal."
0,Something to consider if you like your eggplant extra saucey
0,"You can't go wrong with anything on the menu but a few favorites are the kale salad, steak, and salmon."
0,But my girlfriend ordered the Bucatini Americano and it was delicious
0,A must have on the weekday brunch menuWe also ordered crostinos the prosciuttoricottafig jam agrodolce baconscallion ricotta and tallegiopistachiosblackberry jam
0,Then nothing.No offer for additional drinks or dessert (they always do here)... No check drop.
0,The person on the phone was extremely rude and said they couldn't hold our table for much longer bc they had a lot of people waiting to be seated.
0,So if it wasn't for the food I could well have given them 2 stars.
0,Maybe I am just generous tonight?troteca Astoria I'm here now having dinner with my fiance for our anniversary.
0,"Then we ask a very helpful server (not ours, couldn't find her) if the food is coming, she helps, some food comes, other server and good service kick back in again- all great."
0,Especially when in plain view
0,"It didn't leave me craving more but it was decent, filling and the waitress was attentive."
0,If youre within a couple blocks and its open its worth checking out
0,"I came for brunch and had a shandy followed by two Moscow Mules and was definitely feeling the after effects, so don't let the cocktail prices set you off even though brunch drinks are typically a little cheaper.My friends got the fried chicken and waffles and the chicken sandwich, all of which were devoured."
0,We also had to send my brothers cheese omelet back because they forgot to put cheese on it... wtf.
0,"Overall....it was okayThe decor is cute and trendish - ya know, expose brick walls, nice long bar, high ceilings and windows everywhereThe food was mediocre."
0,Deliciousness
0,"My faggatoni was heavily cheesy, but so delicious I still ate almost the whole plate!"
0,"The ""Smooch"" was heavier but the peach, strawberry, and mint complimented each other beautifully.Others at the table tried the ""Writer's Block"" which was a bit heavy but oh-so-literary, and the ""Class"" which was exactly what they should be drinking on Mad-Men.The calamari were a little rubbery, but everything else I tried was excellent."
0,"The cocktails are inventive and mysterious--even the manager wouldn't tell us what was in the de-lish-usss ""Lolita,"" which was light, refreshing, and garnished with an orchid."
0,Not chewy or overcooked at all
0,I dont live in Astoria but have some friends in the area so when we went out to check out the new chefs work and new cocktail menu I didnt know what to expect but everything I had was great
0,"The mojitos are great, and the food is excellent (except that one time when my pasta was not al dente, it was closer to crunchy.)"
0,Thought you were talking to me lol
0,"If you live in the area, you must make it here and I have even had friends from other boroughs make the trip."
0,The drinks are extra cost to the menu and were lousy.
0,Someone said the water was the best lol you can get that at the hydrant on the corner for free.
0,The waitstaff is very friendly and attentive as well.On a recent Visit we were very unhappy with our entrees.
0,I had the rigatoni with eggplant which was very bland and barely had any flavor
0,You honestly cant go wrong......and i guess i have a spot in my heart for locale because this is my boyfriend and i first dinner date place .....must try!
0,The waitress realized something was off as we barely ate any of our food and after speaking to someone in charge comped us a $10 appetizer.
0,"I know, the beet sauce sounds weird but it's sooo good.Really cute little place, but if you go during prime dinner time, be prepared to wait."
0,"They were playing an old Audrey Hepburn movie in the back, there was quiet jazz playing and low lighting - perfect for a date night."
0,I got the veal meatballs and the crostini deal 3 for 10so delicious
0,Get the faggiotini
0,Their gnocchi was outrageous.
0,It definitely held true tonight
0,530 reservation for Mothers Day we didnt receive our Crostini 3 and Antipasti until 650
0,Fried calamari was cooked perfect
0,Probably have about 6 items per section
0,Crostinos Antipasti Pasta and Second Course  Main
0,I would imagine that this is an excellent place for brunch.
0,First let me say that the quality is really second to none.
0,"The money is going to ingredients that although add to the dish... they aren't necessary to make taste buds sing with joy!theres a pretty long wine list, which was shocking to me because I dont associate wine with QueensIts not very spacious and the place can get pretty loudBut you really ought to go for the food and try this place out-- its this secret gem in Astoria because its got pretty much nothing else fun to do/see/go to in its immediate area I have been in Astoria for a few years now and have been to Locale on a few different occasions."
0,"Yes, the food is delicious and offers creativity and thought into its dishes... however, it sometimes feels as if the ingredients are trying too hard to impress!"
0,Fantastic spot for a mid week brunch
0,Last visit we had the salmon and horseradish risotto and it was the best dish I've had there.
0,its.... not cheap for the area however the food is great!
0,"The apple nutella dessert was very good, however I did not enjoy the hen I ordered."
0,The risotto was flavored perfectly warning there are peas in it in case youre not a fan BUT the people at my table who dont like peas still enjoyed it
0,hint hintThe crostini apps are always a treat highly recommend trying the 3 for 10 deal
0,Locale may be dimly lit offer different kinds of alcoholic beverages and give off that adult only vibe but it was most definitely kid friendly
0,Their menu wasn't massive.
0,Thank you for making her super comfortableRestaurant is spacious with high ceilings
0,"We had a waitress the other night on Tuesday night, and she was so sweet and knew the answers to all my roommates questions."
0,Tables good for two or groups all around
0,"Overall the dishes were passable, but clumpy noodles, and too-salty salad greens (sides, fillet carpaccio) ruined the meal.Service was well-meaning but our waiter lost track of us at the end of the meal."
0,Bar looked fairly decent.
0,"The Blood Mary was great, and my Manhattan stiff.The food, however, was a 2-star affair."
0,The decor is really nice but it can get pretty loud during brunch.
0,Long bar height communal table in the middle
0,Conducive for a romantic first date dinner that won't break your bank and can seriously get you brownie points.
0,"Restaurant was not at full capacity, kitchen was apparently running behind.We ordered the following for primi piatti:-Fig jam, ricotta, prosciutto crostini-Stracchino, garlic, mushrooms crostini-Smoked salmon, zucchini pesto crostini-Shaved brussel sprouts, peppercorn dressing, hazelnut, pecorino (dressing and pecorino were non-existent)-Flash fried calamari, sicilian chiles (Hard to get wrong."
0,Dessert: Chocolate molten cake tasted better this time; although the souffle at Lucas's around the corner can't be beat..Food is good as well although as a vegetarian there's not much to offer me.
0,Returned the well done and got a new steak cooked medium
0,"Most of all, I'd say the #1 highlight was Allison."
0,A real treat
0,"From the service to the food, it was really excellent - great gf options!We live not too far and have been wanting to try it out for some time."
0,Attentive knowledgeable accommodating and really gracious
0,"Often, chicken can get super dry but this was really great."
0,Get this if you go there!I loved that I could easily sub gluten free penne in for the linguini and it was still super delicious.
0,I ordered a Locale Mojito which was ok. My husband ordered a latte which was not bad.
0,The sauce combo with the bacon and clams was really unique.
0,"The decor was great, and it wasn't too busy!The waffles with berries and hash benedict were delicious."
0,They are extremely nice and food is great.
0,"Locale is a GREAT restaurant in Astoria, located slightly off the beaten path."
0,This place has such hype going for it but what was in it for me?
0,I brought my sister and brotherinlaw here on Saturday night and they were definitely impressed with the quality of the food as well as the service
0,"I'm pretty sure the menu changes often because I don't currently see what I ate on their online menu, nevertheless, anything you order here is going to be fresh and taste amazing (pasta is made fresh on site).Locale has an impressive wine and cocktail list and everything on the menu is reasonably priced.I believe our waitress's name was Anna (blonde hair) and she was absolutely fantastic!"
0,"The menu offered interesting brunch cocktails, but we didn't order any."
0, I think they recently changed their name because when I called for my reservation I missed what the hostess first said but she ended with formerly known as Locale
0,Stopped in for brunch on Sunday with a group of friendsI had the Chicken Club Sandwich with a side salad
0,Garlic aioli was flavorful and chicken was juicy.
0,Had the smoked salmon crostini and it was something I was worried if I'll like it with Runny eggs but everything paired so well and it filled me so well.
0,Anna the waitress and Jeremy the bartender are fantastic and provide memorable service and dining experiences.
0,"Their homefries are amazing.I've been here several times with groups for brunch, and have to say my friends have all said this is one of their favorite places.Only drawback is that drinks are not included in the Brunch prices like a lot of other places do.At night the mood turns a little bit like a club, and is loud."
0,The tagliatelle bolognese was really fresh and good as well.
0,I eventually had to ask her if she could get us something.
0,The drinks are no longer specials per season (miss the pear nectar martini) BUT all the new drinks we tried were GREAT.
0,Worth a visit if youre okay with lengthy meal and have good company to conversedrink with
0,Don't understand how you can get the temperature wrong when the ribeye is sliced before serving!
0,Retails 28Two orders of Atlantic Salmon
0,"One ordered medium rare, received well done.Decor: Small establishment with simple, modern decor."
0,"The Freddie Krueger cocktail, artichoke ravioli with truffle sauce and a mojito was well worth it!"
0,Windows allowing a lot of ambient light
0,Eggs benedict were a tad overdone and corn beef hash was good but not great.
0,"No fine print, but servers rejected because our party was larger than 4."
0,"Normally restaurants include promotion details with their offers.Verdict: Quality of food was acceptable, service and culinary abilities were subpar."
0,My 2nd time here
0,"And i must say, their fish (bronzino) is delicious."
0,Not once making eye contact
0,Otherwise plenty of other restaurants in Astoria with comparable decor to try
0,(which was also lukewarm...some ice would have been nice given that it was 90+ degrees out)Food was overall pretty bland.
0,they coat it in corn flakes so its crunchy and delicious
0,It could have used more spices and seasonings.
0,Chicken was apparently dry and fries were just okay and seemed like they were old and the last of the batch.
0,"Anyway, I would give it another try but I'm not going for brunch again."
0,We were sat at the corner table with a couch
0,"Light was dim, decor was classical yet artfully modern."
0,"Multiple servers would ask how we were numerous times, gave us fresh shaved cheese, and a free dessert just because."
0,"Also, I'm not a big fan of drinks that  you have to point to because they are trying to be funny (i.e.thepantydropper) though the beverage itself is pretty tasty.But all in all, Locale is a great restaurant and a must visit if you are in the Astoria food scene."
0,Biggest turn off is waiting an hour for brunch when you're already hangry.
0,I swear I tasted bacon and eggs in this but maybe I'm just crazy.
0,"Fun place for a brunch or dinner Nice looking, good vibe place with decent food.The staff (not everyone) borderline being snob which is a drag.This place is pure windows so in the winter it tends to be cold and maybe because the staff is running back and forth they dont fell it like us who are sitting down."
0,"Their food (and cake cutting fee...) may be somewhat on the more expensive side (except brunch) but for the most part, it is worth it."
0,I'm so happy now to see that Locale really does care about their customers.
0,We split the banana ricotta zepoles which was probably too much food but they were delicious as well
0,Bottom line  great food iffy service at least that afternoon and make a reservation if youre going at a busy time
0,"The location of this place is in a very unusual spot in the middle of bodegas and whatnot, but I think business does just fine."
0,The atmosphere in this place is very quant and swanky.
0,We always over-order because there are so many great options on the menu.
0,Unfortunately I dont believe its on the menu anymore
0,"It was not warm, and the spinach tasted raw.Both orders were barely seasoned, and so lacking in flavor."
0,"Instead of a stack of long, thin slices of salmon, I got a pile of minced bits, like you might find bacon on a salad.My companion ordered the spinach omelette."
0,I wasn't sure we could pull off a last minute brunch date for 6 people but we did without having to wait.
0,"This restaurant has a nice physical space, and the staff were all cheerful, but the food disappointed."
0,They had disco music playing with the movie beetlejuice playing on a projector (for Halloween).
0,"The food is very tasty, not too impressed with their egg dishes."
0,"Our server was impressively speedy, which worked well for us because we were in a hurry, but I do wonder if this is a good place for a languid brunch.I decided to try the scampi & grits (shrimp, sausage, tomato, peppers, polenta, eggs)."
0,My experiences have been great with the exception of the occasional order mixup or serious delay in getting something done.
0,"and breakfast items, and/or b) they would bring back their omelet and breakfast specials!"
0,"They mostly have the usual breakfast and brunch fare plus somewhat unique additions (polenta with sausage and fried egg), but it is a slim menu."
0,It's especially nice when it's warm out.
0,Not only is the environment depending on where you sit comfortable and elegant at the same time but frankly the quality of the food has improved over time particularly the omelets and egg benedicts
0,"The prices are a bit steep for Queens standards, but I don't think you will regret it."
0,My boyfriend had the italian benedict and enjoyed it a lot as well.
0,The combination seems weird but it's super tasty and the perfect amount of food.
0,Thanks Locale - your manager is great One star is based on atmosphere and service only.
0,"Don't forget to use your 10% off coupon through Yelp because I totally did but I'd be willing to give the restaurant another shot, pats Yelp app lovingly."
0,It was sinfully decadent and very similar to a carbonara with extra lemon and garlic.
0,The steak frites were delicious as well.
0,Lots of inventive daily specials which I like.
0,Its basically a chocolate shell filled with peanut cream quartered and then drizzled with chocolate sauce and caramel
0,Service was pretty fast and excellent so I am not sure what all the other yelpers are complaining about.
0,I am DEFINITELY hooked
0,"The pastas were great, and I appreciate the ""proper"" portions that were served, but for the prices of $16 and $19, I would expect a bit more for my money, or for the prices to be a bit lower."
0,"Our server suggested the Calamari as an excellent starter, and although I wanted to try something different for a change, we decided to go with it since she said it was really good."
0,"I feel like 3 little stars isn't very fair, but anyway..Decided to try Locale for dinner the other night, since I was pretty optimistic about it after I had looked up their menu online.I made a reservation for a Friday night at 8:30- we were running 10 mins late so I called ahead to notify the restaurant, and they gracefully accommodated us."
0,After tonight I am definitely a new regular
0,"Not ideal to have that many tables blocked off and have slow service, but everyone has those busy times so I get it."
0,This place has the best frozen Patron margarita I've ever had.
0,It was so delicious and my two year old niece approved!
0,I just wish that it would have come with eggs I had to order them separately which whopped up my food cost to 16 bux.
0,My sister had a chicken club sandwich that was dry and had slightly burnt toast.
0,the hanger steak was also good but we both felt that nobody  beats peter lugers when it comes to steaks Solid brunch.
0,"Servers walked by repeatedly, and no one else stopped at our table to greet us, give us menus or to tell us how long it would be until our server would be there."
0,When I got there they did not have my reservation and happened to have one table available outside with only one chair
0,"She wishes she would have gotten the California eggs benedict she had been debating over, the people next to us had them and they looked so tasty."
0,I did not eat hereI made a reservation on a Friday night for two to eat outside at 830
0,The beggar's purse shaped pasta was unique to me and the sauce was not too intense.
0,"I had the Faggotini Alla Barbabietola, which was absolutely great."
0,"So cute, our waiter was great (he even gave us a free dessert), and so close to my apartment!"
0,their soups are great- it's a damn shame they no longer serve soup at brunch.
0,"my sister got the cali benedict, for $12 a SMALL english muffin with weak slices of avocado, non-ripe tomato slices, and some weird watery sauce."
0,"portion was extremely small, food not hot, gravy bland, biscuits dense and flavorless."
0,The food was good and ambience was chill until I got a whiff of stinky feet.
0,That's when I saw that the person's sitting on the top level's feet was next to my food.
0,in what world are 2 eggs more costly than a serving of chicken
0,"My boyfriend had the fettucini and lamb sausage, which he could not get enough of."
0,and a chicken cali club 10 but cali benedict 12
0,its a bag and hot water people
